Model,Fold,Train_MAE,Train_RMSE,Train_R2,Train_Pearson,Train_Spearman,Train_Kendall,Val_MAE,Val_RMSE,Val_R2,Val_Pearson,Val_Spearman,Val_Kendall
RandomForest,1,0.0992,0.2360,0.9198,0.9786,0.9684,0.8663,0.4230,1.2442,0.1053,0.3829,0.7130,0.5212
SVM,1,0.1961,0.6409,0.4086,0.7053,0.9604,0.8439,0.4697,1.2877,0.0417,0.3540,0.6424,0.4449
XGBoost,1,0.0090,0.0118,0.9998,0.9999,0.9992,0.9792,0.4151,1.2509,0.0956,0.3668,0.7457,0.5523
RandomForest,2,0.1541,0.5016,0.7607,0.8826,0.9645,0.8538,0.3318,0.5343,0.3378,0.5910,0.7034,0.5256
SVM,2,0.2418,0.8765,0.2692,0.5917,0.9484,0.8155,0.3509,0.5850,0.2062,0.4949,0.6423,0.4832
XGBoost,2,0.0683,0.4443,0.8123,0.9013,0.9866,0.9439,0.3270,0.5647,0.2602,0.5129,0.6235,0.4682
RandomForest,3,0.1296,0.3382,0.8975,0.9673,0.9677,0.8592,0.3987,0.9399,-6.5038,0.4050,0.7103,0.5245
SVM,3,0.2555,0.8830,0.3010,0.6401,0.9525,0.8226,0.3034,0.3572,-0.0839,0.5896,0.6739,0.4857
XGBoost,3,0.0117,0.0160,0.9998,0.9999,0.9989,0.9759,0.4433,1.3047,-13.4595,0.3222,0.6848,0.5016
RandomForest,4,0.1248,0.4640,0.6830,0.8284,0.9675,0.8636,0.6673,1.3797,-0.0323,0.3583,0.4459,0.3094
SVM,4,0.1809,0.6854,0.3084,0.6042,0.9583,0.8351,0.7181,1.4325,-0.1127,0.2526,0.2731,0.1874
XGBoost,4,0.0650,0.4441,0.7096,0.8424,0.9881,0.9496,0.7135,1.4423,-0.1282,0.2339,0.3992,0.2748
RandomForest,5,0.1573,0.5072,0.7700,0.8857,0.9633,0.8543,0.2266,0.3236,0.3395,0.6133,0.7172,0.5299
SVM,5,0.2582,0.9014,0.2735,0.6024,0.9480,0.8158,0.2585,0.3232,0.3413,0.6365,0.7031,0.5027
XGBoost,5,0.0693,0.4469,0.8214,0.9063,0.9868,0.9444,0.2104,0.3022,0.4238,0.6589,0.7314,0.5349
TSME(DeepLearning),1,0.1489,0.2021,0.1991,0.4592,0.4669,0.3208,0.1603,0.2203,0.1355,0.3915,0.4427,0.2938
TSME(DeepLearning),2,0.1067,0.1512,0.5665,0.7533,0.7957,0.5973,0.1652,0.2205,0.0383,0.2653,0.2300,0.1506
TSME(DeepLearning),3,0.1656,0.2218,0.1493,0.4161,0.4116,0.2789,0.1171,0.1403,0.1312,0.5202,0.6235,0.4154
TSME(DeepLearning),4,0.1458,0.1983,0.0718,0.3872,0.3837,0.2625,0.2370,0.2929,-0.1235,-0.0440,-0.2383,-0.1683
TSME(DeepLearning),5,0.1382,0.1875,0.3868,0.6253,0.6633,0.4741,0.1353,0.1712,0.0192,0.3198,0.2798,0.1934
RandomForest,1,0.1826,0.5604,0.7570,0.8782,0.9598,0.8431,0.3077,0.5216,0.3866,0.6288,0.7671,0.5903
SVM,1,0.2750,0.9777,0.2605,0.5950,0.9510,0.8245,0.3302,0.5660,0.2778,0.6282,0.7575,0.5681
XGBoost,1,0.0799,0.4997,0.8068,0.8982,0.9844,0.9436,0.3559,0.5388,0.3456,0.6220,0.6749,0.5052
RandomForest,2,0.1447,0.3737,0.8967,0.9649,0.9678,0.8617,0.4330,1.0719,-5.9666,0.2952,0.6936,0.5067
SVM,2,0.2825,0.9737,0.2987,0.6483,0.9594,0.8419,0.2920,0.3615,0.2075,0.5415,0.6323,0.4455
XGBoost,2,0.0083,0.0111,0.9999,1.0000,0.9993,0.9815,0.5151,1.4267,-11.3422,0.2074,0.4987,0.3420
RandomForest,3,0.1881,0.5608,0.7648,0.8850,0.9570,0.8385,0.2603,0.3519,0.1205,0.5664,0.6301,0.4725
SVM,3,0.2939,0.9945,0.2604,0.6030,0.9466,0.8158,0.2749,0.3673,0.0418,0.4234,0.5077,0.3773
XGBoost,3,0.0802,0.4961,0.8160,0.9033,0.9836,0.9415,0.2364,0.3323,0.2158,0.6109,0.6722,0.4989
RandomForest,4,0.1322,0.5145,0.6558,0.8135,0.9678,0.8656,0.6969,1.4839,0.0154,0.3050,0.5785,0.4079
SVM,4,0.1815,0.7371,0.2935,0.5771,0.9668,0.8579,0.7554,1.5498,-0.0740,0.3356,0.4875,0.3384
XGBoost,4,0.0775,0.4996,0.6754,0.8218,0.9839,0.9458,0.8004,1.6052,-0.1523,0.1383,0.5145,0.3568
RandomForest,5,0.1138,0.2449,0.9270,0.9790,0.9645,0.8574,0.5834,1.5457,0.0322,0.3266,0.5546,0.4055
SVM,5,0.2275,0.7131,0.3813,0.7069,0.9581,0.8399,0.6064,1.5481,0.0293,0.3169,0.5295,0.3965
XGBoost,5,0.0094,0.0129,0.9998,0.9999,0.9991,0.9789,0.5895,1.5482,0.0292,0.3032,0.5294,0.3864
RandomForest,1,0.1826,0.5604,0.7570,0.8782,0.9598,0.8431,0.3077,0.5216,0.3866,0.6288,0.7671,0.5903
SVM,1,0.2750,0.9777,0.2605,0.5950,0.9510,0.8245,0.3302,0.5660,0.2778,0.6282,0.7575,0.5681
XGBoost,1,0.0799,0.4997,0.8068,0.8982,0.9844,0.9436,0.3559,0.5388,0.3456,0.6220,0.6749,0.5052
RandomForest,2,0.1447,0.3737,0.8967,0.9649,0.9678,0.8617,0.4330,1.0719,-5.9666,0.2952,0.6936,0.5067
SVM,2,0.2825,0.9737,0.2987,0.6483,0.9594,0.8419,0.2920,0.3615,0.2075,0.5415,0.6323,0.4455
XGBoost,2,0.0083,0.0111,0.9999,1.0000,0.9993,0.9815,0.5151,1.4267,-11.3422,0.2074,0.4987,0.3420
RandomForest,3,0.1881,0.5608,0.7648,0.8850,0.9570,0.8385,0.2603,0.3519,0.1205,0.5664,0.6301,0.4725
SVM,3,0.2939,0.9945,0.2604,0.6030,0.9466,0.8158,0.2749,0.3673,0.0418,0.4234,0.5077,0.3773
XGBoost,3,0.0802,0.4961,0.8160,0.9033,0.9836,0.9415,0.2364,0.3323,0.2158,0.6109,0.6722,0.4989
RandomForest,4,0.1322,0.5145,0.6558,0.8135,0.9678,0.8656,0.6969,1.4839,0.0154,0.3050,0.5785,0.4079
SVM,4,0.1815,0.7371,0.2935,0.5771,0.9668,0.8579,0.7554,1.5498,-0.0740,0.3356,0.4875,0.3384
XGBoost,4,0.0775,0.4996,0.6754,0.8218,0.9839,0.9458,0.8004,1.6052,-0.1523,0.1383,0.5145,0.3568
RandomForest,5,0.1138,0.2449,0.9270,0.9790,0.9645,0.8574,0.5834,1.5457,0.0322,0.3266,0.5546,0.4055
SVM,5,0.2275,0.7131,0.3813,0.7069,0.9581,0.8399,0.6064,1.5481,0.0293,0.3169,0.5295,0.3965
XGBoost,5,0.0094,0.0129,0.9998,0.9999,0.9991,0.9789,0.5895,1.5482,0.0292,0.3032,0.5294,0.3864
RandomForest,1,0.1826,0.5604,0.7570,0.8782,0.9598,0.8431,0.3077,0.5216,0.3866,0.6288,0.7671,0.5903
SVM,1,0.2750,0.9777,0.2605,0.5950,0.9510,0.8245,0.3302,0.5660,0.2778,0.6282,0.7575,0.5681
XGBoost,1,0.0799,0.4997,0.8068,0.8982,0.9844,0.9436,0.3559,0.5388,0.3456,0.6220,0.6749,0.5052
RandomForest,2,0.1447,0.3737,0.8967,0.9649,0.9678,0.8617,0.4330,1.0719,-5.9666,0.2952,0.6936,0.5067
SVM,2,0.2825,0.9737,0.2987,0.6483,0.9594,0.8419,0.2920,0.3615,0.2075,0.5415,0.6323,0.4455
XGBoost,2,0.0083,0.0111,0.9999,1.0000,0.9993,0.9815,0.5151,1.4267,-11.3422,0.2074,0.4987,0.3420
RandomForest,3,0.1881,0.5608,0.7648,0.8850,0.9570,0.8385,0.2603,0.3519,0.1205,0.5664,0.6301,0.4725
SVM,3,0.2939,0.9945,0.2604,0.6030,0.9466,0.8158,0.2749,0.3673,0.0418,0.4234,0.5077,0.3773
XGBoost,3,0.0802,0.4961,0.8160,0.9033,0.9836,0.9415,0.2364,0.3323,0.2158,0.6109,0.6722,0.4989
RandomForest,4,0.1322,0.5145,0.6558,0.8135,0.9678,0.8656,0.6969,1.4839,0.0154,0.3050,0.5785,0.4079
SVM,4,0.1815,0.7371,0.2935,0.5771,0.9668,0.8579,0.7554,1.5498,-0.0740,0.3356,0.4875,0.3384
XGBoost,4,0.0775,0.4996,0.6754,0.8218,0.9839,0.9458,0.8004,1.6052,-0.1523,0.1383,0.5145,0.3568
RandomForest,5,0.1138,0.2449,0.9270,0.9790,0.9645,0.8574,0.5834,1.5457,0.0322,0.3266,0.5546,0.4055
SVM,5,0.2275,0.7131,0.3813,0.7069,0.9581,0.8399,0.6064,1.5481,0.0293,0.3169,0.5295,0.3965
XGBoost,5,0.0094,0.0129,0.9998,0.9999,0.9991,0.9789,0.5895,1.5482,0.0292,0.3032,0.5294,0.3864
