Iteration(Tree),Train_Loss(MSE),Val_Loss(MSE)
1,1.268570,0.230477
2,1.205056,0.215941
3,1.146565,0.202001
4,1.093473,0.190288
5,1.044180,0.180672
6,0.998500,0.172268
7,0.955779,0.163952
8,0.916546,0.157179
9,0.879724,0.151119
10,0.845502,0.146185
11,0.814057,0.140943
12,0.783130,0.137237
13,0.755603,0.133203
14,0.731842,0.129897
15,0.711335,0.126309
16,0.687943,0.123347
17,0.669818,0.122751
18,0.652380,0.120465
19,0.632984,0.118351
20,0.617612,0.117935
21,0.603995,0.115431
22,0.587177,0.113464
23,0.575351,0.112324
24,0.560472,0.112553
25,0.549661,0.112189
26,0.540556,0.111018
27,0.527503,0.109605
28,0.515595,0.108753
29,0.504684,0.108058
30,0.493842,0.107306
31,0.483890,0.106139
32,0.474422,0.105638
33,0.465156,0.105294
34,0.456522,0.105223
35,0.448297,0.104810
36,0.440789,0.104536
37,0.432861,0.104576
38,0.425495,0.105417
39,0.419366,0.104630
40,0.412670,0.104902
41,0.406464,0.104758
42,0.400820,0.104816
43,0.395735,0.104229
44,0.390375,0.104051
45,0.385291,0.104295
46,0.381120,0.103627
47,0.377148,0.102650
48,0.372401,0.102026
49,0.369125,0.102543
50,0.365977,0.102760
51,0.362010,0.102543
52,0.359393,0.103049
53,0.356176,0.102983
54,0.353025,0.103123
55,0.349599,0.103682
56,0.347539,0.103603
57,0.344547,0.104049
58,0.342149,0.103475
59,0.339646,0.103170
60,0.337063,0.103587
61,0.335568,0.103629
62,0.333253,0.103902
63,0.331882,0.104235
64,0.329699,0.104023
65,0.327663,0.104195
66,0.326254,0.104118
67,0.324420,0.103987
68,0.322554,0.103829
69,0.321540,0.103772
70,0.319890,0.103707
71,0.319021,0.103668
72,0.316586,0.104023
73,0.314324,0.104464
74,0.312250,0.104723
75,0.310288,0.105017
76,0.308487,0.105196
77,0.306782,0.105477
78,0.305214,0.105699
79,0.303750,0.105935
80,0.302404,0.106030
81,0.301040,0.106275
82,0.299893,0.106400
83,0.299000,0.106488
84,0.297829,0.106614
85,0.296773,0.106632
86,0.295748,0.106691
87,0.294755,0.106848
88,0.293936,0.107061
89,0.293038,0.107227
90,0.292259,0.107615
91,0.291516,0.107687
92,0.290842,0.107858
93,0.290096,0.107942
94,0.289439,0.107905
95,0.288459,0.107943
96,0.288131,0.108191
97,0.287718,0.108205
98,0.287028,0.108478
99,0.286410,0.108554
100,0.285659,0.108493
101,0.285102,0.108604
102,0.284471,0.108683
103,0.283885,0.108626
104,0.283436,0.108623
105,0.282841,0.108621
106,0.282589,0.108517
107,0.281946,0.108930
108,0.281450,0.108745
109,0.280987,0.108650
110,0.280592,0.108674
111,0.280154,0.108533
112,0.279749,0.108403
113,0.279312,0.108393
114,0.278986,0.108356
115,0.278624,0.108241
116,0.278215,0.108268
117,0.277843,0.108229
118,0.277510,0.108277
119,0.277017,0.108354
120,0.276556,0.108336
121,0.276128,0.108335
122,0.275654,0.108332
123,0.275252,0.108566
124,0.274999,0.108610
125,0.274480,0.108543
126,0.274054,0.108497
127,0.273789,0.108573
128,0.273423,0.108392
129,0.273183,0.108490
130,0.272970,0.108542
131,0.272528,0.108481
132,0.272199,0.108482
133,0.271893,0.108467
134,0.271681,0.108546
135,0.271273,0.108637
136,0.270883,0.108596
137,0.270367,0.108499
138,0.270196,0.108404
139,0.269820,0.108316
140,0.269433,0.108471
141,0.269094,0.108393
142,0.268742,0.108525
143,0.268409,0.108686
144,0.268106,0.108932
145,0.267714,0.108985
146,0.267493,0.108909
147,0.267356,0.108864
148,0.266996,0.108922
149,0.266866,0.109005
150,0.266580,0.108869
151,0.266361,0.108899
152,0.266248,0.108904
153,0.266039,0.108909
154,0.265759,0.108619
155,0.265477,0.108602
156,0.265207,0.108493
157,0.264877,0.108410
158,0.264624,0.108496
159,0.264403,0.108691
160,0.264216,0.108816
161,0.264041,0.108928
162,0.263839,0.108964
163,0.263600,0.108987
164,0.263360,0.109105
165,0.263205,0.109238
166,0.263026,0.109257
167,0.262891,0.109274
168,0.262720,0.109153
169,0.262429,0.109028
170,0.262347,0.109143
171,0.262222,0.109175
172,0.261950,0.109103
173,0.261725,0.109103
174,0.261653,0.109164
175,0.261586,0.109239
176,0.261374,0.109210
177,0.261171,0.109207
178,0.260911,0.109153
179,0.260672,0.109062
180,0.260495,0.109122
181,0.260239,0.109238
182,0.260081,0.109287
183,0.260023,0.109269
184,0.259829,0.109315
185,0.259770,0.109447
186,0.259517,0.109418
187,0.259218,0.109379
188,0.259028,0.109377
189,0.258856,0.109379
190,0.258679,0.109380
191,0.258566,0.109417
192,0.258465,0.109416
193,0.258188,0.109345
194,0.257957,0.109341
195,0.257778,0.109404
196,0.257617,0.109481
197,0.257447,0.109497
198,0.257258,0.109627
199,0.257068,0.109855
200,0.256831,0.109840
201,0.256610,0.109680
202,0.256379,0.109747
203,0.256165,0.109812
204,0.255990,0.109666
205,0.255814,0.109694
206,0.255666,0.109597
207,0.255485,0.109603
208,0.255333,0.109657
209,0.255213,0.109729
210,0.255049,0.109758
211,0.254948,0.109816
212,0.254833,0.109891
213,0.254684,0.110008
214,0.254536,0.110099
215,0.254397,0.110107
216,0.254244,0.110168
217,0.254115,0.110307
218,0.253981,0.110333
219,0.253858,0.110295
220,0.253745,0.110438
221,0.253597,0.110427
222,0.253491,0.110368
223,0.253345,0.110318
224,0.253240,0.110242
225,0.253151,0.110203
226,0.253058,0.110186
227,0.252974,0.110186
228,0.252891,0.110142
229,0.252763,0.110175
230,0.252643,0.110184
231,0.252537,0.110206
232,0.252438,0.110233
233,0.252295,0.110204
234,0.252186,0.110155
235,0.252091,0.110132
236,0.251982,0.110071
237,0.251879,0.110005
238,0.251819,0.109972
239,0.251722,0.109951
240,0.251595,0.109925
241,0.251521,0.109907
242,0.251449,0.109927
243,0.251350,0.109803
244,0.251259,0.109803
245,0.251173,0.109808
246,0.251104,0.109868
247,0.251002,0.109812
248,0.250897,0.109768
249,0.250808,0.109814
250,0.250719,0.109778
251,0.250620,0.109787
252,0.250525,0.109791
253,0.250440,0.109799
254,0.250370,0.109833
255,0.250302,0.109816
256,0.250240,0.109764
257,0.250178,0.109773
258,0.250119,0.109865
259,0.250041,0.109995
260,0.249979,0.109945
261,0.249930,0.110038
