Gene,Delta_R,P_Value,Neg_Log10_P
ABCA1,0.07017629497462063,0.8838094192384652,0.05364137423617107
ABCB5,0.17022743205443402,0.23428523683911684,0.6302550770082892
ABCC10,0.02106443119438839,0.9635128056760234,0.016142508930192596
ABCC11,-0.15566204998507605,0.13114204837672663,0.8822580371422681
ABCC3,-0.0023699336512750246,0.9521875668748734,0.021277493595479875
ACACA,-0.10751678017914135,0.3402544031750955,0.46819624595629983
ACACB,0.08460406998096603,0.8908429913760706,0.050198832425080914
ACE,-0.015531778576266864,0.8190792940817251,0.08667405267769437
ADAM10,-0.08918767932788729,0.2616176532191935,0.582332954395881
ADCY10,0.059632048203752785,0.96811443570093,0.01407330399737618
ADCY2,-2.28691179009477e-05,0.96811443570093,0.01407330399737618
ADH7,-0.1922803773441747,0.1432300904417781,0.8439657338436574
ADIPOR2,0.08085427882875795,0.8908429913760706,0.050198832425080914
AKR1C1,-0.22832639334716953,0.017390839759763906,1.759679446506422
AKR1C2,-0.19413152111766185,0.16994641671959065,0.7696879879818619
ALK,-0.08053969670876004,0.36140933626248783,0.4420006325307389
ALPL,0.08085427882875795,0.8908429913760706,0.050198832425080914
AMPD3,0.18867175795771274,0.10671974818377668,0.97175520818882
ANO1,-0.09397662519094163,0.43675784204813706,0.359759288456864
APC,-0.017185551337406957,0.521885197608717,0.2824250209985738
APOB,-0.10953950553430825,0.12222978376580272,0.9128229565396022
ASH1L,0.006621042283905587,0.7491304322364676,0.1254425600456425
ATAD2,0.10842659053970782,0.4233906614213784,0.3732587252913148
ATM,-0.01798983008391497,0.9830660249707502,0.007417312974041541
AURKA,0.08085427882875795,0.8908429913760706,0.050198832425080914
AXIN2,0.10765258358097574,0.4575534658490924,0.33955815063242734
BAZ1B,-0.1157337400336208,0.15013982308546567,0.8235041002123487
BCL9,-0.14529134999399507,0.10793153162147372,0.9668516599630506
BMPR2,0.1217561838075899,0.07820187302170066,1.1067828449804644
BPTF,0.06564596797858668,0.6405327568495962,0.19345865552857505
BRAF,-0.09535689796724411,0.4102660092585979,0.38693446305484946
BRD8,0.04018193304216,1.0,-0.0
BRWD3,0.025918180585725925,0.8319105663686857,0.07992335955092987
C3,0.1036872387959148,0.9154824465431283,0.03834997844316127
CACNA1A,0.0442547214274388,0.7910816392098949,0.10177869522696438
CACNA1B,-0.10866035271605357,0.24305488008392584,0.6142956546871828
CACNA1C,0.01289260930930669,0.8940455140153206,0.04864037160390455
CACNA1D,0.07975040575485792,0.5757347047218859,0.2397775909114855
CACNA1E,-0.13964910412396214,0.20098824845487262,0.6968293345218066
